latitude;longitude;date;month;year
23.8620;91.4723;08;06;1980
12.9870;80.1715;02;08;1984
29.5077;75.4520;07;07;1987
12.9667;79.9466;21;05;1991
30.9010;75.8573;15;06;1991
28.9875;79.4141;17;10;1991
19.0760;72.8777;12;03;1993
11.9544;77.6494;09;04;1993
13.0827;80.2707;08;08;1993
26.3647;90.1835;30;12;1996
11.0168;76.9558;14;02;1998
24.5834;90.5834;20;05;2000
23.7040;87.8673;27;07;2000
33.8712;74.7723;09;06;2001
28.6562;77.2410;22;12;2000
34.0836;74.7973;01;10;2001
28.6262;77.2180;13;12;2001
25.7490;82.6987;13;05;2002
32.7305;74.8620;27;03;2002
24.8185;84.6343;10;09;2002
19.0908;72.9077;06;12;2002
15.8281;78.0373;21;12;2002
23.2310;72.6739;24;09;2002
19.1031;72.8467;27;01;2003
19.1746;72.9431;13;03;2003
19.0993;72.9163;28;07;2003
18.9220;72.8347;25;08;2003
32.7746;74.8437;02;01;2004
27.6087;94.7692;15;08;2004
26.7983;82.2031;05;07;2005
25.7490;82.6987;28;07;2005
28.6139;77.2090;29;10;2005
13.0219;77.5671;28;12;2005
25.3176;82.9739;07;03;2006
